customer_id,age,gender,city,customer_type,registration_date
1,40,Male,Austin,New,2025-03-20 18:59:59.593908
2,33,Male,Jacksonville,New,2023-08-07 18:59:59.593908
3,42,Female,Jacksonville,Premium,2025-07-31 18:59:59.593908
4,53,Female,Philadelphia,New,2023-12-11 18:59:59.593908
5,32,Male,New York,Regular,2024-11-10 18:59:59.593908
6,32,Male,Philadelphia,New,2025-05-30 18:59:59.593908
7,53,Male,Boston,Premium,2025-06-13 18:59:59.593908
8,44,Female,San Jose,New,2025-02-06 18:59:59.593908
9,29,Male,San Jose,Regular,2024-11-17 18:59:59.593908
10,41,Male,New York,VIP,2024-10-30 18:59:59.593908
11,29,Male,Columbus,VIP,2025-06-07 18:59:59.593908
12,29,Female,Houston,Regular,2025-05-02 18:59:59.593908
13,37,Female,San Francisco,Regular,2025-02-14 18:59:59.593908
14,18,Female,Columbus,New,2025-08-13 18:59:59.593908
15,18,Female,San Jose,New,2025-07-20 18:59:59.593908
16,28,Female,New York,New,2024-06-09 18:59:59.593908
17,22,Female,San Diego,Premium,2025-07-19 18:59:59.593908
18,38,Male,Dallas,Premium,2025-01-31 18:59:59.593908
19,24,Female,Fort Worth,Regular,2024-03-09 18:59:59.593908
20,18,Female,Philadelphia,Regular,2024-03-06 18:59:59.593908
21,52,Female,Dallas,Regular,2025-03-28 18:59:59.593908
22,32,Male,Indianapolis,Regular,2024-12-07 18:59:59.593908
23,35,Male,San Antonio,New,2025-04-19 18:59:59.593908
24,18,Female,Indianapolis,Regular,2025-04-05 18:59:59.593908
25,28,Female,Denver,Regular,2025-03-07 18:59:59.593908
26,36,Female,Chicago,Regular,2025-03-10 18:59:59.593908
27,21,Female,Seattle,Premium,2025-07-06 18:59:59.593908
28,39,Male,San Jose,Regular,2023-07-29 18:59:59.593908
29,27,Male,Denver,Regular,2025-01-12 18:59:59.593908
30,31,Male,Charlotte,Regular,2024-07-23 18:59:59.593908
31,27,Male,Houston,New,2024-11-22 18:59:59.593908
32,57,Female,Austin,Premium,2025-07-08 18:59:59.593908
33,34,Male,Denver,Regular,2025-03-16 18:59:59.593908
34,22,Male,Denver,New,2024-12-27 18:59:59.593908
35,44,Male,Boston,New,2025-08-03 18:59:59.593908
36,20,Male,Boston,Regular,2023-10-04 18:59:59.593908
37,37,Male,Fort Worth,New,2025-08-07 18:59:59.593908
38,18,Male,San Diego,Regular,2025-03-02 18:59:59.593908
39,19,Male,Houston,Wholesale,2025-04-09 18:59:59.593908
40,37,Male,Columbus,Wholesale,2023-05-18 18:59:59.593908
41,43,Male,New York,VIP,2024-02-16 18:59:59.593908
42,37,Female,Charlotte,New,2024-08-22 18:59:59.593908
43,33,Male,Denver,Regular,2025-04-21 18:59:59.593908
44,31,Male,Indianapolis,Regular,2025-06-14 18:59:59.593908
45,18,Male,San Jose,Regular,2022-12-04 18:59:59.593908
46,26,Female,San Francisco,New,2024-04-28 18:59:59.593908
47,29,Male,Fort Worth,New,2022-08-18 18:59:59.593908
48,47,Female,Seattle,Regular,2025-07-29 18:59:59.593908
